German_Headword,English_Meaning,Example_Sentence_DE,Example_Sentence_EN,,YouGlish_Link
"die Sendung, -en",broadcast / show,Welche <b>Sendungen</b> schaust du gern an?,Which shows do you like watching?,,https://youglish.com/pronounce/Sendung/german
der Service (kein Pl.),service / customer service,Ich bin mit dem <b>Service</b> in der Werkstatt sehr zufrieden.,I am very satisfied with the service in the workshop.,,https://youglish.com/pronounce/Service/german
setzen (sich),to sit down,<b>Setz dich</b> doch!,Do sit down!,,https://youglish.com/pronounce/setzen/german
sicher,safe / sure / certain,"Ich bin ganz <b>sicher</b>, dass er kommt.",I am completely certain that he is coming.,,https://youglish.com/pronounce/sicher/german
"singen | singt, sang, hat gesungen",to sing,Er <b>singt</b> gern.,He likes singing.,,https://youglish.com/pronounce/singen/german
"die Situation, -en",situation,Ich bin in einer schwierigen <b>Situation</b>.,I am in a difficult situation.,,https://youglish.com/pronounce/Situation/german
"sitzen | sitzt, saß, hat/ist gesessen",to sit,Wo möchten Sie <b>sitzen</b>?,Where would you like to sit?,,https://youglish.com/pronounce/sitzen/german
"der Ski, - / -er",ski,Gehen wir am Wochenende <b>Ski</b> fahren?,Are we going skiing this weekend?,,https://youglish.com/pronounce/Ski/german
so,so / thus / this way,Sie müssen das <b>so</b> machen!,You must do it this way!,,https://youglish.com/pronounce/so/german
"das Sofa, -s",sofa / couch,Das <b>Sofa</b> ist bequem.,The sofa is comfortable.,,https://youglish.com/pronounce/Sofa/german
sofort,immediately / right away,Bitte antworten Sie <b>sofort</b>.,Please reply immediately.,,https://youglish.com/pronounce/sofort/german
sogar,even,In den Bergen schneit es <b>sogar</b>.,In the mountains it is even snowing.,,https://youglish.com/pronounce/sogar/german
"sollen | soll, sollte, hat gesollt",should / ought to,Wann <b>soll</b> ich kommen?,When should I come?,,https://youglish.com/pronounce/sollen/german
"die Sonne, -n",sun,Die <b>Sonne</b> scheint.,The sun is shining.,,https://youglish.com/pronounce/Sonne/german
sonnig,sunny,Morgen ist das Wetter wieder warm und <b>sonnig</b>.,Tomorrow the weather will again be warm and sunny.,,https://youglish.com/pronounce/sonnig/german
sonst,otherwise / else,Haben Sie <b>sonst</b> noch einen Wunsch?,Do you have any other wish?,,https://youglish.com/pronounce/sonst/german
spannend,thrilling / suspenseful,Ich finde den Film sehr <b>spannend</b>.,I find the film very thrilling.,,https://youglish.com/pronounce/spannend/german
sparen,to save (money),Ein neues Auto ist sehr teuer. Ich muss <b>sparen</b>.,A new car is very expensive. I have to save.,,https://youglish.com/pronounce/sparen/german
der Spaß (kein Pl.),fun / pleasure,Meine Arbeit macht mir <b>Spaß</b>.,I enjoy my work.,,https://youglish.com/pronounce/Spaß/german
"spät (später, am spätesten)",late,"Es ist schon <b>spät</b>, ich muss gehen.","It is already late, I must go.",,https://youglish.com/pronounce/spät/german
später,later,Das können wir <b>später</b> machen.,We can do that later.,,https://youglish.com/pronounce/später/german
"spazieren gehen | geht spazieren, ging spazieren, ist spazieren gegangen",to go for a walk,Wir gehen sonntags immer <b>spazieren</b>.,We always go for a walk on Sundays.,,https://youglish.com/pronounce/spazieren/german
"der Spaziergang, -e",walk / stroll,Abends mache ich immer einen <b>Spaziergang</b>.,In the evenings I always take a walk.,,https://youglish.com/pronounce/Spaziergang/german
speichern,to save (file/data),Sie müssen die Datei <b>speichern</b>.,You must save the file.,,https://youglish.com/pronounce/speichern/german
"die Speisekarte, -n",menu,Bringen Sie uns bitte die <b>Speisekarte</b>.,Please bring us the menu.,,https://youglish.com/pronounce/Speisekarte/german
"das Spiel, -e",game / match,Monopoly ist ein sehr bekanntes <b>Spiel</b>.,Monopoly is a very famous game.,,https://youglish.com/pronounce/Spiel/german
spielen,to play,Die Kinder <b>spielen</b> draußen.,The children are playing outside.,,https://youglish.com/pronounce/spielen/german
der Sport (kein Pl.),sport / exercise,Ich mache viel <b>Sport</b>.,I do a lot of sports.,,https://youglish.com/pronounce/Sport/german
sportlich,sporty / athletic,Tom ist sehr <b>sportlich</b>.,Tom is very athletic.,,https://youglish.com/pronounce/sportlich/german
"der Sportplatz, -e",sports field / sports ground,Das Fußballtraining ist um 17 Uhr auf dem <b>Sportplatz</b>.,Football practice is at 5 PM on the sports ground.,,https://youglish.com/pronounce/Sportplatz/german
"die Sprache, -n",language,Welche <b>Sprachen</b> sprichst du?,Which languages do you speak?,,https://youglish.com/pronounce/Sprache/german
"sprechen mit (+ Dat.) über (+ Akk.) | spricht, sprach, hat gesprochen",to speak / talk,Kann ich Herrn Klein <b>sprechen</b>?,May I speak to Mr. Klein?,,https://youglish.com/pronounce/sprechen/german
"die Sprechstunde, -n",consultation hours / office hours,Frau Doktor Weiß hat von 9:00 bis 12:30 Uhr <b>Sprechstunde</b>.,Dr. Weiß has consultation hours from 9:00 to 12:30.,,https://youglish.com/pronounce/Sprechstunde/german
"die Stadt, -e",city / town,Heidelberg ist eine alte <b>Stadt</b>.,Heidelberg is an old city.,,https://youglish.com/pronounce/Stadt/german
"der Stadtplan, -e",city map,Haben Sie einen <b>Stadtplan</b> von Salzburg?,Do you have a city map of Salzburg?,,https://youglish.com/pronounce/Stadtplan/german
"der Star, -s",star / celebrity,Diese Sängerin ist ein <b>Star</b> in Deutschland.,This singer is a celebrity in Germany.,,https://youglish.com/pronounce/Star/german
"stark (stärker, am stärksten)",strong / heavy,Ich habe <b>starke</b> Kopfschmerzen.,I have a bad headache.,,https://youglish.com/pronounce/stark/german
"stattfinden | findet statt, fand statt, hat stattgefunden",to take place / happen,Das Spiel <b>findet</b> auch bei Regen <b>statt</b>.,The match takes place even in rain.,,https://youglish.com/pronounce/stattfinden/german
"stehen | steht, stand, hat/ist gestanden",to stand,Der Bus <b>steht</b> schon an der Haltestelle.,The bus is already standing at the bus stop.,,https://youglish.com/pronounce/stehen/german
"die Stelle, -n",job / position / place,Ich habe eine neue <b>Stelle</b>.,I have a new job position.,,https://youglish.com/pronounce/Stelle/german
stellen,to place / set up vertically,<b>Stell</b> die Milch bitte in den Kühlschrank!,Please put the milk in the fridge!,,https://youglish.com/pronounce/stellen/german
"sterben an (+ Dat.) | stirbt, starb, ist gestorben",to die,Sein Vater ist gestern <b>gestorben</b>.,His father died yesterday.,,https://youglish.com/pronounce/sterben/german
"der Stiefel, -",boot,Wie viel kosten die roten <b>Stiefel</b>?,How much do the red boots cost?,,https://youglish.com/pronounce/Stiefel/german
"der Stift, -e",pen / writing utensil,Kannst du mir bitte einen <b>Stift</b> geben?,Could you please give me a pen?,,https://youglish.com/pronounce/Stift/german
"das Stipendium, Stipendien",scholarship,"Wenn ich ein gutes Zeugnis habe, bekomme ich ein <b>Stipendium</b>.","If I have a good report card, I will receive a scholarship.",,https://youglish.com/pronounce/Stipendium/german
"der Stock, Stockwerke / das Stockwerk, -e",floor / storey,Unsere Wohnung liegt im ersten <b>Stock</b>.,Our apartment is on the first floor.,,https://youglish.com/pronounce/Stock/german
stören,to disturb / bother,Mach die Musik leiser! Sie <b>stört</b> mich.,Turn the music down! It is disturbing me.,,https://youglish.com/pronounce/stören/german
"der Strand, -e",beach,Im Urlaub bin ich am liebsten am <b>Strand</b>.,On vacation I prefer being at the beach.,,https://youglish.com/pronounce/Strand/german
"die Straße, -n",street / road,In welcher <b>Straße</b> wohnen Sie?,On which street do you live?,,https://youglish.com/pronounce/Straße/german
"die Straßenbahn, -en",tram / streetcar,Fahren wir mit der <b>Straßenbahn</b> oder mit der U-Bahn?,Shall we go by tram or by underground?,,https://youglish.com/pronounce/Straßenbahn/german
"streiten (sich) mit (+ Dat.) | streitet, stritt, hat gestritten",to argue / quarrel,Die Kinder <b>streiten sich</b> oft.,The children argue often.,,https://youglish.com/pronounce/streiten/german
streng,strict / severe,Der Lehrer von meiner Tochter ist sehr <b>streng</b>.,My daughter's teacher is very strict.,,https://youglish.com/pronounce/streng/german
der Stress (kein Pl.),stress,Ich habe bei der Arbeit viel <b>Stress</b>.,I have a lot of stress at work.,,https://youglish.com/pronounce/Stress/german
stressig,stressful,Meine Arbeit ist <b>stressig</b>.,My work is stressful.,,https://youglish.com/pronounce/stressig/german
"das Stück, -e",piece / play,Möchten Sie noch ein <b>Stück</b> Kuchen?,Would you like another piece of cake?,,https://youglish.com/pronounce/Stück/german
"der Student, -en / die Studentin, -nen",university student,Ich bin <b>Studentin</b>.,I am a university student.,,https://youglish.com/pronounce/Student/german
studieren,to study (at university),Ich <b>studiere</b> in Mainz.,I study at university in Mainz.,,https://youglish.com/pronounce/studieren/german
"das Studium, Studien",degree studies,Das <b>Studium</b> dauert drei Jahre.,University studies last three years.,,https://youglish.com/pronounce/Studium/german
"der Stuhl, -e",chair,Ist der <b>Stuhl</b> frei?,Is this chair free?,,https://youglish.com/pronounce/Stuhl/german
suchen nach (+ Dat.),to search / look for,Ich <b>suche</b> meine Brille.,I am looking for my glasses.,,https://youglish.com/pronounce/suchen/german
super,super / great,Der Film ist <b>super</b>.,The film is great.,,https://youglish.com/pronounce/super/german
"der Supermarkt, -e",supermarket,Ich kaufe oft im <b>Supermarkt</b> ein.,I often shop at the supermarket.,,https://youglish.com/pronounce/Supermarkt/german
"die Suppe, -n",soup,Schmeckt dir die <b>Suppe</b>?,Do you like the soup?,,https://youglish.com/pronounce/Suppe/german
"surfen | surft, surfte, hat/ist gesurft",to surf,<b>Surfst</b> du oft im Internet?,Do you often surf the internet?,,https://youglish.com/pronounce/surfen/german
süß,sweet / cute,Ich finde die Torte zu <b>süß</b>.,I find the cake too sweet.,,https://youglish.com/pronounce/süß/german
die Süßigkeiten (nur Pl.),sweets / candy,Welche <b>Süßigkeiten</b> isst du am liebsten?,Which sweets do you like eating best?,,https://youglish.com/pronounce/Süßigkeiten/german
sympathisch,likable / pleasant,Der neue Chef ist sehr <b>sympathisch</b>.,The new boss is very likable.,,https://youglish.com/pronounce/sympathisch/german
"das Tablet, -s",tablet (computer),Hast du ein <b>Tablet</b>?,Do you have a tablet?,,https://youglish.com/pronounce/Tablet/german
"die Tablette, -n",tablet / pill,Du sollst am Abend zwei <b>Tabletten</b> nehmen.,You should take two tablets in the evening.,,https://youglish.com/pronounce/Tablette/german
"die Tafel, -n",blackboard / board,Der Lehrer schreibt das neue Wort an die <b>Tafel</b>.,The teacher writes the new word on the blackboard.,,https://youglish.com/pronounce/Tafel/german
tanzen,to dance,<b>Tanzen</b> Sie gern?,Do you like dancing?,,https://youglish.com/pronounce/tanzen/german
"die Tasche, -n",bag / pocket,Ich habe die Schlüssel in der <b>Tasche</b>.,I have the keys in my pocket.,,https://youglish.com/pronounce/Tasche/german
das Taschengeld (kein Pl.),pocket money / allowance,Wie viel <b>Taschengeld</b> bekommen deine Kinder?,How much pocket money do your children get?,,https://youglish.com/pronounce/Taschengeld/german
"die Tasse, -n",cup / mug,Möchten Sie eine <b>Tasse</b> Kaffee?,Would you like a cup of coffee?,,https://youglish.com/pronounce/Tasse/german
tauschen / austauschen,to exchange / swap,Können wir bitte die Plätze <b>tauschen</b>?,Could we please swap seats?,,https://youglish.com/pronounce/tauschen/german
"das Taxi, -s",taxi / cab,Bitte rufen Sie mir ein <b>Taxi</b>.,Please call me a taxi.,,https://youglish.com/pronounce/Taxi/german
"das Team, -s",team,Ich arbeite gern in einem <b>Team</b>.,I enjoy working in a team.,,https://youglish.com/pronounce/Team/german
"der Tee, -s",tea,Ich trinke morgens immer <b>Tee</b>.,I always drink tea in the morning.,,https://youglish.com/pronounce/Tee/german
teilen mit (+ Dat.),to share / divide,Wollen wir die Pizza <b>teilen</b>?,Shall we share the pizza?,,https://youglish.com/pronounce/teilen/german
"teilnehmen an (+ Dat.) | nimmt teil, nahm teil, hat teilgenommen",to participate / take part in,Ich möchte an dem Tanzkurs <b>teilnehmen</b>.,I would like to participate in the dance course.,,https://youglish.com/pronounce/teilnehmen/german
"das Telefon, -e",telephone / phone,Darf ich bitte Ihr <b>Telefon</b> benutzen?,May I please use your telephone?,,https://youglish.com/pronounce/Telefon/german
telefonieren mit (+ Dat.),to make a phone call,Ich muss kurz <b>telefonieren</b>.,I have to make a short phone call.,,https://youglish.com/pronounce/telefonieren/german
"der Teller, -",plate,Stell die <b>Teller</b> bitte auf den Tisch!,Please put the plates on the table!,,https://youglish.com/pronounce/Teller/german
das Tennis (kein Pl.),tennis,Steffi spielt sehr gut <b>Tennis</b>.,Steffi plays tennis very well.,,https://youglish.com/pronounce/Tennis/german
"der Termin, -e",appointment,Am besten machen wir sofort einen <b>Termin</b>.,It's best if we make an appointment right away.,,https://youglish.com/pronounce/Termin/german
"teuer (teurer, am teuersten)",expensive,Das ist mir zu <b>teuer</b>.,That is too expensive for me.,,https://youglish.com/pronounce/teuer/german
"der Text, -e",text,Lesen Sie bitte den <b>Text</b>.,Please read the text.,,https://youglish.com/pronounce/Text/german
"das Theater, -",theater,Ich gehe nicht gern ins <b>Theater</b>.,I don't like going to the theater.,,https://youglish.com/pronounce/Theater/german
"das Thema, Themen",topic / theme,Heute heißt unser <b>Thema</b>: „Essen und Trinken“.,Today our topic is: 'Food and Drink'.,,https://youglish.com/pronounce/Thema/german
"das Ticket, -s",ticket,Wie viel kostet das <b>Ticket</b>?,How much does the ticket cost?,,https://youglish.com/pronounce/Ticket/german
tief,deep / low,"Vorsicht, das Wasser ist <b>tief</b>!","Careful, the water is deep!",,https://youglish.com/pronounce/tief/german
"das Tier, -e",animal / pet,Wir dürfen keine <b>Tiere</b> in der Wohnung haben.,We are not allowed to have animals in the apartment.,,https://youglish.com/pronounce/Tier/german
"der Tipp, -s",tip / hint,Kannst du mir einen guten <b>Tipp</b> geben?,Can you give me a good tip?,,https://youglish.com/pronounce/Tipp/german
"der Tisch, -e",table,Das Essen steht schon auf dem <b>Tisch</b>.,The meal is already on the table.,,https://youglish.com/pronounce/Tisch/german
"der Titel, -",title,Wie heißt der Film? Ich weiß den <b>Titel</b> nicht mehr.,What is the film called? I don't remember the title anymore.,,https://youglish.com/pronounce/Titel/german
"die Toilette, -n",toilet / restroom,"Wo ist die <b>Toilette</b>, bitte?","Where is the restroom, please?",,https://youglish.com/pronounce/Toilette/german
toll,great / awesome,Der Urlaub war <b>toll</b>.,The vacation was fantastic.,,https://youglish.com/pronounce/toll/german
"die Tomate, -n",tomato,Die <b>Tomate</b> ist noch grün.,The tomato is still green.,,https://youglish.com/pronounce/Tomate/german
"der Topf, -e",pot / saucepan,Hast du keinen größeren <b>Topf</b>?,Don't you have a larger cooking pot?,,https://youglish.com/pronounce/Topf/german
"die Torte, -n",tart / layer cake,Zum Geburtstag backe ich dir eine <b>Torte</b>.,For your birthday I'll bake you a fancy cake.,,https://youglish.com/pronounce/Torte/german
tot,dead,Meine Großeltern sind schon lange <b>tot</b>.,My grandparents have been dead for a long time.,,https://youglish.com/pronounce/tot/german
total,total / completely,Der Film ist <b>total</b> langweilig.,The movie is totally boring.,,https://youglish.com/pronounce/total/german
"die Tour, -en",tour / hike,Wo kann ich eine Stadt<b>tour</b> buchen?,Where can I book a city tour?,,https://youglish.com/pronounce/Tour/german
"der Tourist, -en / die Touristin, -nen",tourist,Im Sommer kommen viele <b>Touristen</b> in diese Stadt.,In summer many tourists visit this city.,,https://youglish.com/pronounce/Tourist/german
"tragen | trägt, trug, hat getragen",to carry / wear,Er <b>trägt</b> heute einen blauen Anzug.,He is wearing a blue suit today.,,https://youglish.com/pronounce/tragen/german
trainieren,to train / practice,Wir <b>trainieren</b> einmal pro Woche im Sportverein.,We practice once a week at the sports club.,,https://youglish.com/pronounce/trainieren/german
"das Training, -s",training / practice,Das <b>Training</b> ist immer dienstags.,Training is always on Tuesdays.,,https://youglish.com/pronounce/Training/german
"der Traum, -e",dream,"Ich möchte eine eigene Firma, das ist mein <b>Traum</b>.",I would like my own company; that is my dream.,,https://youglish.com/pronounce/Traum/german
träumen von (+ Dat.),to dream,Ich <b>träume</b> von einem großen Haus mit Garten.,I dream of a big house with a garden.,,https://youglish.com/pronounce/träumen/german
traurig,sad,Ich bin sehr <b>traurig</b>.,I am very sad.,,https://youglish.com/pronounce/traurig/german
"treffen (sich) mit (+ Dat.) | trifft, traf, hat getroffen",to meet,Ich <b>treffe</b> in der Stadt einen Kollegen.,I am meeting a colleague in town.,,https://youglish.com/pronounce/treffen/german
"die Treppe, -n",stairs / staircase,"Ich nehme die <b>Treppe</b>, nicht den Aufzug.","I'll take the stairs, not the elevator.",,https://youglish.com/pronounce/Treppe/german
"trinken | trinkt, trank, hat getrunken",to drink,Möchtest du etwas <b>trinken</b>?,Would you like to drink something?,,https://youglish.com/pronounce/trinken/german
trocken,dry,Die Wäsche ist bald <b>trocken</b>.,The laundry will soon be dry.,,https://youglish.com/pronounce/trocken/german
tschüs,bye / goodbye,"<b>Tschüs</b>, bis morgen!","Bye, see you tomorrow!",,https://youglish.com/pronounce/tschüs/german
"das T-Shirt, -s",T-shirt,Haben Sie dieses <b>T-Shirt</b> auch in M?,Do you also have this T-shirt in size M?,,https://youglish.com/pronounce/T-Shirt/german
"tun | tut, tat, hat getan",to do / act,Was kann ich für Sie <b>tun</b>?,What can I do for you?,,https://youglish.com/pronounce/tun/german
"die Tür, -en",door,Mach bitte die <b>Tür</b> zu!,Please shut the door!,,https://youglish.com/pronounce/Tür/german
typisch für (+ Akk.),typical,Diese Musik ist <b>typisch</b> für dieses Land.,This music is typical of this country.,,https://youglish.com/pronounce/typisch/german
üben,to practice / exercise,Ich <b>übe</b> jeden Tag zwei Stunden.,I practice two hours every day.,,https://youglish.com/pronounce/üben/german
über (+ Dat./Akk.),over / across / above,Gehen Sie lieber hier <b>über</b> die Straße.,Better cross the street here.,,https://youglish.com/pronounce/über/german
überall,everywhere,Ich habe <b>überall</b> gesucht.,I searched everywhere.,,https://youglish.com/pronounce/überall/german
übermorgen,day after tomorrow,Ich komme <b>übermorgen</b> wieder ins Büro.,I will come back to the office the day after tomorrow.,,https://youglish.com/pronounce/übermorgen/german
übernachten,to stay overnight,Du kannst bei mir <b>übernachten</b>.,You can stay overnight at my place.,,https://youglish.com/pronounce/übernachten/german
übersetzen in (+ Akk.),to translate,Können Sie mir den Brief bitte <b>übersetzen</b>?,Could you please translate the letter for me?,,https://youglish.com/pronounce/übersetzen/german
"die Übersetzung, -en",translation,Ich brauche eine <b>Übersetzung</b> von meinem Zeugnis.,I need a translation of my certificate.,,https://youglish.com/pronounce/Übersetzung/german
"überweisen auf (+ Akk.) | überweist, überwies, hat überwiesen",to transfer (funds),Sie können das Geld auch <b>überweisen</b>.,You can also transfer the money.,,https://youglish.com/pronounce/überweisen/german
"die Uhr, -en",clock / watch / o'clock,Es ist vier <b>Uhr</b>.,It is four o'clock.,,https://youglish.com/pronounce/Uhr/german
um (+ Akk.),at / around,Er kommt <b>um</b> sieben Uhr.,He is coming at seven o'clock.,,https://youglish.com/pronounce/um/german
"umsteigen in (+ Akk.) | steigt um, stieg um, ist umgestiegen",to transfer / change trains,Sie müssen in Mannheim <b>umsteigen</b>.,You have to change trains in Mannheim.,,https://youglish.com/pronounce/umsteigen/german
"umziehen | zieht um, zog um, ist umgezogen",to relocate / move house,Nächsten Monat <b>ziehen</b> wir <b>um</b>.,Next month we are moving house.,,https://youglish.com/pronounce/umziehen/german
"umziehen (sich) | zieht sich um, zog sich um, hat sich umgezogen",to change clothes,"Warte bitte, ich muss mich noch <b>umziehen</b>.","Please wait, I still have to change my clothes.",,https://youglish.com/pronounce/umziehen/german
"der Umzug, -e",moving / parade,Der <b>Umzug</b> ist nächste Woche.,The house move is next week.,,https://youglish.com/pronounce/Umzug/german
unbedingt,absolute / without fail,Ich muss <b>unbedingt</b> mit dir sprechen.,I absolutely must speak with you.,,https://youglish.com/pronounce/unbedingt/german
und,and,Ich habe heute <b>und</b> morgen frei.,I have today and tomorrow off.,,https://youglish.com/pronounce/und/german
"der Unfall, -e",accident,Ich hatte gestern einen <b>Unfall</b>.,I had an accident yesterday.,,https://youglish.com/pronounce/Unfall/german
"die Universität, -en",university,Er studiert an der <b>Universität</b> Freiburg.,He studies at the University of Freiburg.,,https://youglish.com/pronounce/Universität/german
unten,below / downstairs,Er wohnt ganz <b>unten</b> im Haus.,He lives right downstairs in the house.,,https://youglish.com/pronounce/unten/german
unter (+ Dat./Akk.),under / below / among,<b>Unter</b> uns wohnt eine Familie mit drei Kindern.,Below us lives a family with three children.,,https://youglish.com/pronounce/unter/german
"unterhalten (sich) über (+ Akk.) | unterhält, unterhielt, hat unterhalten",to converse / chat,Wir haben uns über das Fußballspiel <b>unterhalten</b>.,We chatted about the football match.,,https://youglish.com/pronounce/unterhalten/german
"die Unterkunft, -e",accommodation / lodging,Ich suche noch eine <b>Unterkunft</b> in Basel.,I am still looking for accommodation in Basel.,,https://youglish.com/pronounce/Unterkunft/german
"unternehmen | unternimmt, unternahm, hat unternommen",to undertake / do,Wollen wir heute Abend etwas <b>unternehmen</b>?,Shall we do something tonight?,,https://youglish.com/pronounce/unternehmen/german
der Unterricht (kein Pl.),instruction / lesson / class,Der <b>Unterricht</b> dauert bis 19 Uhr.,The lesson lasts until 7 PM.,,https://youglish.com/pronounce/Unterricht/german
"der Unterschied, -e",difference,Was ist der <b>Unterschied</b> zwischen den beiden Kursen?,What is the difference between the two courses?,,https://youglish.com/pronounce/Unterschied/german
"unterschreiben | unterschreibt, unterschrieb, hat unterschrieben",to sign,Wo muss ich <b>unterschreiben</b>?,Where do I have to sign?,,https://youglish.com/pronounce/unterschreiben/german
"die Unterschrift, -en",signature,Hier fehlt noch Ihre <b>Unterschrift</b>.,Your signature is still missing here.,,https://youglish.com/pronounce/Unterschrift/german
untersuchen,to examine / inspect,Der Arzt hat mich <b>untersucht</b>.,The doctor examined me.,,https://youglish.com/pronounce/untersuchen/german
"unterwegs sein | ist unterwegs, war unterwegs, ist unterwegs gewesen",to be on the way,Ich bin <b>unterwegs</b> und komme gleich.,I am on the way and will arrive shortly.,,https://youglish.com/pronounce/unterwegs/german
"der Urlaub, -e",vacation / holiday,Ich nehme im September <b>Urlaub</b>.,I am taking vacation in September.,,https://youglish.com/pronounce/Urlaub/german
"verabredet sein | ist verabredet, war verabredet, ist verabredet gewesen",to have an appointment/date,Ich bin mit meiner Freundin <b>verabredet</b>.,I have plans to meet my girlfriend.,,https://youglish.com/pronounce/verabredet/german
"die Veranstaltung, -en",event / function,Wir haben eine <b>Veranstaltung</b>.,We are holding an event.,,https://youglish.com/pronounce/Veranstaltung/german
"verbieten | verbietet, verbot, hat verboten",to forbid / prohibit,Hier ist Rauchen <b>verboten</b>.,Smoking is prohibited here.,,https://youglish.com/pronounce/verbieten/german
verdienen,to earn / deserve,Ich <b>verdiene</b> 1.500 Euro im Monat.,"I earn 1,500 euros a month.",,https://youglish.com/pronounce/verdienen/german
"der Verein, -e",club / association,Er ist seit vielen Jahren im <b>Verein</b>.,He has been in the club for many years.,,https://youglish.com/pronounce/Verein/german
vereinbaren,to arrange / agree on,Können wir einen Termin <b>vereinbaren</b>?,Can we arrange an appointment?,,https://youglish.com/pronounce/vereinbaren/german
"vergessen | vergisst, vergaß, hat vergessen",to forget,Ich habe meine Hausaufgaben <b>vergessen</b>.,I forgot my homework.,,https://youglish.com/pronounce/vergessen/german
"vergleichen mit (+ Dat.) | vergleicht, verglich, hat verglichen",to compare,<b>Vergleichen</b> Sie die Angebote!,Compare the offers!,,https://youglish.com/pronounce/vergleichen/german
verkaufen,to sell,Er <b>verkauft</b> sein altes Auto.,He is selling his old car.,,https://youglish.com/pronounce/verkaufen/german
der Verkehr (kein Pl.),traffic / transport,Morgens gibt es hier immer viel <b>Verkehr</b>.,In the morning there is always a lot of traffic here.,,https://youglish.com/pronounce/Verkehr/german
"das Verkehrsmittel, -",means of transport,Welche <b>Verkehrsmittel</b> benutzen Sie oft?,Which means of transportation do you use often?,,https://youglish.com/pronounce/Verkehrsmittel/german
verletzen (sich),to injure / hurt,Haben Sie sich <b>verletzt</b>?,Did you injure yourself?,,https://youglish.com/pronounce/verletzen/german
verlieben (sich) in (+ Akk.),to fall in love,Ich bin total <b>verliebt</b>.,I am completely in love.,,https://youglish.com/pronounce/verlieben/german
"verlieren | verliert, verlor, hat verloren",to lose,Ich habe meinen Schlüssel <b>verloren</b>.,I lost my key.,,https://youglish.com/pronounce/verlieren/german
vermieten an (+ Akk.),to let / rent out,Die Wohnung ist schon <b>vermietet</b>.,The apartment is already rented out.,,https://youglish.com/pronounce/vermieten/german
"der Vermieter, - / die Vermieterin, -nen",landlord / landlady,Unser <b>Vermieter</b> ist nett.,Our landlord is nice.,,https://youglish.com/pronounce/Vermieter/german
verpassen,to miss (train/bus),Ich habe den Zug <b>verpasst</b>.,I missed the train.,,https://youglish.com/pronounce/verpassen/german
"verreisen | verreist, verreiste, ist verreist",to go on a trip / travel away,<b>Verreist</b> ihr in den Ferien?,Are you traveling away during the holidays?,,https://youglish.com/pronounce/verreisen/german
"verschieben auf (+ Akk.) | verschiebt, verschob, hat verschoben",to postpone / reschedule,Leider muss ich den Termin <b>verschieben</b>.,Unfortunately I must postpone the appointment.,,https://youglish.com/pronounce/verschieben/german
verschieden,different / diverse,Unsere beiden Kinder sind sehr <b>verschieden</b>.,Our two children are very different.,,https://youglish.com/pronounce/verschieden/german
"die Verspätung, -en",delay,Unser Zug hat leider 15 Minuten <b>Verspätung</b>.,Our train unfortunately has a 15-minute delay.,,https://youglish.com/pronounce/Verspätung/german
"verstehen | versteht, verstand, hat verstanden",to understand,Ich <b>verstehe</b> diese Aufgabe nicht.,I do not understand this exercise.,,https://youglish.com/pronounce/verstehen/german
versuchen,to try / attempt,Kann ich es auch einmal <b>versuchen</b>?,May I also try it once?,,https://youglish.com/pronounce/versuchen/german
"der Vertrag, -e",contract / treaty,Ich muss den <b>Vertrag</b> noch unterschreiben.,I still have to sign the contract.,,https://youglish.com/pronounce/Vertrag/german
"viel (mehr, am meisten)",much / a lot,Ich habe leider nicht <b>viel</b> Zeit.,Unfortunately I do not have much time.,,https://youglish.com/pronounce/viel/german
vielleicht,maybe / perhaps,<b>Vielleicht</b> bekomme ich diesen Job.,Maybe I will get this job.,,https://youglish.com/pronounce/vielleicht/german
"der Vogel, -",bird,Nadine mag <b>Vögel</b>.,Nadine likes birds.,,https://youglish.com/pronounce/Vogel/german
voll,full,Die Flasche ist noch ganz <b>voll</b>.,The bottle is still completely full.,,https://youglish.com/pronounce/voll/german
"der Volleyball, -e",volleyball,Ich spiele gern <b>Volleyball</b>.,I like playing volleyball.,,https://youglish.com/pronounce/Volleyball/german
von (+ Dat.),from / of / by,Das Auto <b>von</b> Felix ist kaputt.,Felix's car is broken.,,https://youglish.com/pronounce/von/german
vor (+ Dat./Akk.),before / in front of / ago,Das Auto steht <b>vor</b> der Tür.,The car is standing in front of the door.,,https://youglish.com/pronounce/vor/german
vorbei an (+ Dat.),past / over / by,Kommst du morgen bei mir <b>vorbei</b>?,Are you coming by my place tomorrow?,,https://youglish.com/pronounce/vorbei/german
vorbereiten (sich) auf (+ Akk.),to prepare,Ich muss mich auf meine Prüfung <b>vorbereiten</b>.,I have to prepare for my exam.,,https://youglish.com/pronounce/vorbereiten/german
vorgestern,day before yesterday,Er hat mich <b>vorgestern</b> angerufen.,He called me the day before yesterday.,,https://youglish.com/pronounce/vorgestern/german
vorher,beforehand / previously,<b>Vorher</b> muss ich aber noch zur Bank.,"Beforehand, however, I still have to go to the bank.",,https://youglish.com/pronounce/vorher/german
vorn(e),in front / at the front,Bitte <b>vorn</b> einsteigen!,Please board at the front!,,https://youglish.com/pronounce/vorn/german
"der Vorname, -n",first name / given name,Mein <b>Vorname</b> ist Eva.,My first name is Eva.,,https://youglish.com/pronounce/Vorname/german
"der Vorschlag, -e",suggestion / proposal,Hast du einen guten <b>Vorschlag</b>?,Do you have a good suggestion?,,https://youglish.com/pronounce/Vorschlag/german
